reference,office,opened,closed,case_type,band,worker,extract_date
CC-2024-18497,Calder Central,2024-04-05,2024-05-05,Complex,Low,W186,2026-01-14
CC-2024-22964,Northgate,2024-03-18,2024-04-20,Review,Low,W162,2026-01-14
CC-2025-90562,Calder Central,2025-09-29,2025-11-05,Complex,Medium,W100,2026-01-14
CC-2025-12460,Calder Central,2025-08-28,2025-10-01,Complex,Low,W137,2026-01-14
CC-2024-11653,Calder Central,2024-05-26,2024-06-13,Review,Medium,W140,2026-01-14
CC-2024-11727,Calder Central,2024-08-29,2024-09-22,Standard,Medium,W131,2026-01-14
CC-2023-23971,Northgate,2023-12-08,2022-11-16,Complex,,W155,2026-01-14
CC-2025-90203,Weybridge,2025-11-29,,Complex,Medium,W252,2026-01-14
CC-2025-90560,Calder Central,2025-03-02,2025-06-20,Complex,Medium,W110,2026-01-14
CC-2024-90516,Weybridge,2024-08-08,2024-10-03,Standard,Low,W157,2026-01-14
CC-2024-10519,Northgate,2024-07-11,2024-07-22,Standard,Low,W130,2026-01-14
CC-2025-18776,Northgate,2025-01-01,2025-04-03,Review,Low,W111,2026-01-14
CC-2023-21809,Northgate,2023-07-07,2023-08-19,Standard,,W149,2026-01-14
CC-2024-16942,Calder Central,2024-10-22,2024-12-11,Complex,Medium,W105,2026-01-14
CC-2025-16862,Northgate,2025-03-18,2025-04-11,Standard,Medium,W207,2026-01-14
CC-2025-10168,Calder Central,2025-06-22,2025-09-06,Standard,High,W130,2026-01-14
CC-2024-13537,Calder Central,2024-04-27,2024-07-01,Complex,Low,W185,2026-01-14
CC-2025-11169,Weybridge,2025-02-11,2025-10-22,Appeal,Medium,W111,2026-01-14
CC-2025-12421,Calder Central,2025-12-28,,Review,Low,W194,2026-01-14
CC-2025-12846,Weybridge,2025-12-13,,Complex,Medium,W151,2026-01-14
CC-2025-11030,Calder Central,2025-10-18,,Complex,Low,W151,2026-01-14
CC-2025-90374,Weybridge,2025-01-11,2025-05-06,Standard,Medium,W148,2026-01-14
CC-2023-18353,Weybridge,2023-11-04,2023-11-29,Review,,W235,2026-01-14
CC-2023-20060,Weybridge,2023-10-13,2023-10-28,Standard,,W216,2026-01-14
CC-2025-90494,Weybridge,2025-03-28,2025-05-08,Standard,Low,W184,2026-01-14
CC-2024-23853,Weybridge,2024-02-17,2024-03-02,Standard,,W176,2026-01-14
CC-2024-12862,Calder Central,2024-08-11,2024-08-22,Standard,High,W194,2026-01-14
CC-2023-14407,Weybridge,2023-10-03,2023-10-29,Standard,,W111,2026-01-14
CC-2023-23017,Northgate,2023-12-01,2024-01-06,Expedited,,W192,2026-01-14
CC-2024-19873,Weybridge,2024-08-08,2024-12-28,Review,Low,W260,2026-01-14
CC-2024-13358,Northgate,2024-10-26,2024-10-30,Expedited,Medium,W200,2026-01-14
CC-2024-90751,Calder Central,2024-03-28,2024-05-08,Review,Medium,W192,2026-01-14
CC-2024-14283,Calder Central,2024-12-11,2025-02-21,Standard,Low,W218,2026-01-14
CC-2023-14301,Weybridge,2023-10-27,2023-11-16,Standard,,W123,2026-01-14
CC-2025-21244,Northgate,2025-03-02,2025-03-10,Expedited,Medium,W149,2026-01-14
CC-2024-17412,Northgate,2024-02-23,2024-05-23,Complex,,W111,2026-01-14
CC-2025-11217,Weybridge,2025-06-14,2025-08-12,Standard,Low,W173,2026-01-14
CC-2023-24195,Calder Central,2023-08-23,2023-09-20,Review,,W259,2026-01-14
CC-2025-23815,Northgate,2025-12-18,,Complex,Low,W228,2026-01-14
CC-2023-14645,Northgate,2023-07-19,2023-07-28,Expedited,,W225,2026-01-14
CC-2024-90443,Northgate,2024-12-02,2024-12-25,Appeal,Medium,W147,2026-01-14
CC-2024-21296,Northgate,2024-10-08,2024-11-03,Expedited,Low,W120,2026-01-14
CC-2023-22738,Weybridge,2023-08-09,2023-10-15,Standard,,W152,2026-01-14
CC-2025-10346,Calder Central,2025-07-08,2025-08-19,Review,Medium,W146,2026-01-14
CC-2024-19619,Weybridge,2024-11-22,2025-02-05,Expedited,Low,W202,2026-01-14
CC-2025-14725,Weybridge,2025-10-20,,Complex,Medium,W123,2026-01-14
CC-2025-11446,Northgate,2025-03-21,2025-04-28,Appeal,Low,W158,2026-01-14
CC-2023-19183,Calder Central,2023-11-16,2024-01-25,Complex,,W184,2026-01-14
CC-2024-16284,Calder Central,2024-04-29,2024-06-05,Standard,Low,W174,2026-01-14
CC-2023-19071,Northgate,2023-10-02,2023-11-10,Standard,,W155,2026-01-14
CC-2023-12698,Calder Central,2023-10-19,2023-10-31,Standard,,W132,2026-01-14
CC-2025-24089,Northgate,2025-06-22,2025-07-21,Standard,Low,W104,2026-01-14
CC-2025-22226,Weybridge,2025-06-09,2025-09-21,Appeal,Low,W216,2026-01-14
CC-2023-16487,Weybridge,2023-12-19,2024-04-01,Review,,W188,2026-01-14
CC-2023-13867,Calder Central,2023-11-28,2024-01-07,Standard,,W133,2026-01-14
CC-2024-90703,Northgate,2024-05-19,2024-06-28,Complex,Low,W172,2026-01-14
CC-2023-15368,Weybridge,2023-11-29,2023-12-22,Standard,,W216,2026-01-14
CC-2024-90317,Northgate,2024-04-29,2024-06-05,Standard,High,W207,2026-01-14
CC-2025-18993,Northgate,2025-09-19,2025-11-10,Standard,Low,W136,2026-01-14
CC-2025-17429,Weybridge,2025-02-25,2025-03-17,Expedited,Medium,W202,2026-01-14
CC-2025-15412,Calder Central,2025-11-01,2025-12-16,Appeal,High,W178,2026-01-14
CC-2023-24023,Calder Central,2023-08-14,2023-09-09,Standard,,W217,2026-01-14
CC-2024-13040,Weybridge,2024-09-01,2024-11-03,Review,Low,W144,2026-01-14
CC-2025-21098,Weybridge,2025-05-02,2025-09-25,Appeal,Medium,W111,2026-01-14
CC-2024-19842,Northgate,2024-03-02,2024-03-16,Standard,Low,W101,2026-01-14
CC-2025-11076,Weybridge,2025-11-18,2025-12-06,Expedited,Low,W240,2026-01-14
CC-2024-18657,Calder Central,2024-03-01,2024-05-28,Appeal,Low,W218,2026-01-14
CC-2025-17870,Weybridge,2025-07-28,2025-12-06,Appeal,Low,W215,2026-01-14
CC-2025-90654,Northgate,2025-10-08,2025-11-06,Standard,Medium,W220,2026-01-14
CC-2023-11554,Calder Central,2023-09-16,2023-09-28,Standard,,W134,2026-01-14
CC-2025-19770,Northgate,2025-10-20,2025-11-17,Review,Low,W197,2026-01-14
CC-2024-19495,Weybridge,2024-05-12,2024-06-09,Standard,Medium,W172,2026-01-14
CC-2025-20564,Calder Central,2025-11-18,,Complex,Medium,W139,2026-01-14
CC-2025-14676,Weybridge,2025-06-18,2025-09-29,Appeal,Low,W250,2026-01-14
CC-2025-14044,Calder Central,2025-06-01,2025-07-04,Standard,High,W236,2026-01-14
CC-2024-15960,Calder Central,2024-12-27,2025-02-03,Standard,Medium,W256,2026-01-14
CC-2023-19673,Calder Central,2023-09-17,2023-10-26,Standard,,W170,2026-01-14
CC-2024-21170,Weybridge,2024-08-17,2024-09-24,Standard,Low,W188,2026-01-14
CC-2025-13575,Calder Central,2025-08-29,2025-10-01,Review,High,W145,2026-01-14
CC-2025-90030,Northgate,2025-01-04,2025-03-07,Complex,Medium,W194,2026-01-14
CC-2024-14359,Calder Central,2024-08-21,2024-09-27,Standard,Low,W221,2026-01-14
CC-2025-15188,Weybridge,2025-05-22,2025-07-03,Complex,Medium,W155,2026-01-14
CC-2025-22566,Weybridge,2025-03-02,2025-05-17,Standard,High,W199,2026-01-14
CC-2025-21837,Calder Central,2025-11-13,,Complex,Low,W148,2026-01-14
CC-2024-11279,Calder Central,2024-11-23,2024-12-11,Review,High,W210,2026-01-14
CC-2024-16891,Weybridge,2024-09-29,2025-03-15,Complex,Medium,W230,2026-01-14
CC-2025-10422,Calder Central,2025-06-08,2025-10-25,Standard,Low,W154,2026-01-14
CC-2025-90734,Calder Central,2025-06-24,2025-09-07,Complex,Medium,W231,2026-01-14
CC-2024-19575,Weybridge,2024-02-28,2024-03-15,Standard,,W165,2026-01-14
CC-2024-12745,Calder Central,2024-12-15,2025-01-04,Standard,Medium,W260,2026-01-14
CC-2025-18448,Weybridge,2025-07-03,2025-10-04,Standard,Medium,W162,2026-01-14
CC-2024-22437,Weybridge,2024-01-01,2024-03-30,Complex,,W132,2026-01-14
CC-2025-22786,Northgate,2025-01-07,2025-01-26,Standard,Low,W244,2026-01-14
CC-2025-16738,Calder Central,2025-07-09,2025-09-10,Standard,Low,W230,2026-01-14
CC-2024-11674,Weybridge,2024-03-10,2024-03-06,Standard,High,W185,2026-01-14
CC-2024-23122,Northgate,2024-01-21,2024-02-02,Expedited,,W251,2026-01-14
CC-2025-15620,Calder Central,2025-06-17,2025-07-16,Standard,Medium,W248,2026-01-14
CC-2023-21660,Calder Central,2023-11-19,2023-12-05,Expedited,,W252,2026-01-14
CC-2024-14762,Calder Central,2024-11-24,2025-01-08,Review,Medium,W101,2026-01-14
CC-2025-22192,Calder Central,2025-08-04,2025-08-17,Standard,Medium,W130,2026-01-14
CC-2023-23484,Calder Central,2023-10-23,2023-11-25,Standard,,W142,2026-01-14
CC-2025-23056,Northgate,2025-02-11,2025-04-18,Complex,High,W149,2026-01-14
CC-2025-90523,Calder Central,2025-02-12,2025-04-28,Standard,Medium,W181,2026-01-14
CC-2025-90113,Calder Central,2025-08-22,2025-09-21,Appeal,Medium,W223,2026-01-14
CC-2023-11686,Weybridge,2023-08-23,2023-11-11,Complex,,W214,2026-01-14
CC-2024-16000,Weybridge,2024-05-22,2024-07-17,Appeal,Medium,W188,2026-01-14
CC-2025-15734,Weybridge,2025-05-02,2025-07-04,Standard,Medium,W161,2026-01-14
CC-2025-90255,Calder Central,2025-06-24,2025-07-11,Standard,Low,W182,2026-01-14
CC-2024-90592,Northgate,2024-02-22,2024-03-12,Standard,,W153,2026-01-14
CC-2024-90698,Calder Central,2024-06-16,2024-09-15,Complex,Low,W256,2026-01-14
CC-2024-90348,Calder Central,2024-12-11,2024-12-26,Standard,High,W234,2026-01-14
CC-2024-11532,Northgate,2024-10-22,2024-11-30,Standard,Low,W106,2026-01-14
CC-2024-16204,Calder Central,2024-05-11,2024-07-22,Complex,Medium,W122,2026-01-14
CC-2025-22466,Calder Central,2025-11-10,2025-12-19,Expedited,Medium,W159,2026-01-14
CC-2025-20914,Northgate,2025-09-04,2025-10-06,Standard,Medium,W145,2026-01-14
CC-2024-15822,Calder Central,2024-09-30,2024-10-21,Standard,Low,W166,2026-01-14
CC-2025-13936,Calder Central,2025-07-10,2025-09-04,Complex,Medium,W117,2026-01-14
CC-2024-18172,Calder Central,2024-03-18,2023-09-05,Appeal,Low,W170,2026-01-14
CC-2025-21924,Calder Central,2025-01-09,2025-01-29,Expedited,Low,W181,2026-01-14
CC-2025-18368,Weybridge,2025-03-08,2025-04-28,Standard,Medium,W240,2026-01-14
CC-2025-16035,Weybridge,2025-04-17,2025-06-20,Review,Low,W240,2026-01-14
CC-2024-90352,Weybridge,2024-07-09,2024-07-22,Expedited,High,W134,2026-01-14
CC-2024-15448,Weybridge,2024-04-01,2024-08-01,Complex,Low,W120,2026-01-14
CC-2024-16632,Calder Central,2024-08-01,2024-08-28,Standard,Medium,W122,2026-01-14
CC-2024-11082,Weybridge,2024-07-30,,Complex,Medium,W223,2026-01-14
CC-2024-19855,Calder Central,2024-02-27,2024-03-19,Standard,,W223,2026-01-14
CC-2024-90426,Calder Central,2024-08-05,2024-12-07,Complex,Medium,W251,2026-01-14
CC-2024-14025,Calder Central,2024-02-27,2024-04-19,Complex,,W214,2026-01-14
CC-2023-10534,Calder Central,2023-08-17,2023-09-27,Complex,,W241,2026-01-14
CC-2025-21780,Calder Central,2025-02-27,2025-03-24,Standard,High,W103,2026-01-14
CC-2024-11072,Weybridge,2024-05-14,2024-08-04,Review,Low,W102,2026-01-14
CC-2025-16649,Calder Central,2025-10-25,2025-12-01,Standard,Low,W146,2026-01-14
CC-2023-13139,Calder Central,2023-09-15,2023-10-08,Review,,W142,2026-01-14
CC-2024-17896,Northgate,2024-07-14,2024-10-26,Complex,Low,W111,2026-01-14
CC-2023-17799,Weybridge,2023-12-08,2024-01-07,Review,,W152,2026-01-14
CC-2025-21395,Weybridge,2025-01-08,2025-03-30,Standard,Medium,W241,2026-01-14
CC-2025-10840,Calder Central,2025-12-15,,Expedited,Low,W195,2026-01-14
CC-2024-11280,Northgate,2024-01-22,2024-06-06,Complex,,W194,2026-01-14
CC-2025-13788,Weybridge,2025-04-01,2025-09-26,Complex,Medium,W233,2026-01-14
CC-2025-14489,Northgate,2025-07-04,2025-10-13,Appeal,Low,W116,2026-01-14
CC-2025-21069,Calder Central,2025-02-26,2025-05-16,Complex,Medium,W111,2026-01-14
CC-2025-90222,Weybridge,2025-04-07,2025-07-09,Complex,Medium,W122,2026-01-14
CC-2024-12031,Calder Central,2024-11-06,2024-12-10,Review,High,W152,2026-01-14
CC-2024-21129,Weybridge,2024-12-19,2025-01-29,Standard,Low,W191,2026-01-14
CC-2024-17086,Calder Central,2024-09-12,2024-11-28,Complex,Medium,W211,2026-01-14
CC-2025-19372,Northgate,2025-06-01,2025-06-25,Expedited,High,W119,2026-01-14
CC-2024-14622,Northgate,2024-04-21,2024-07-06,Complex,Medium,W260,2026-01-14
CC-2025-21621,Calder Central,2025-12-15,,Complex,Low,W189,2026-01-14
CC-2023-13800,Northgate,2023-10-06,2023-10-22,Standard,,W207,2026-01-14
CC-2025-14520,Weybridge,2025-07-24,,Standard,High,W220,2026-01-14
CC-2024-10795,Northgate,2024-04-17,2024-04-24,Expedited,Medium,W241,2026-01-14
CC-2024-90088,Northgate,2024-12-05,2024-12-24,Expedited,Low,W238,2026-01-14
CC-2024-17747,Calder Central,2024-12-24,2025-01-29,Review,Medium,W105,2026-01-14
CC-2025-14382,Weybridge,2025-12-16,,Standard,Low,W173,2026-01-14
CC-2023-10297,Calder Central,2023-09-22,2023-09-29,Expedited,,W245,2026-01-14
CC-2024-90529,Weybridge,2024-07-14,2024-08-26,Review,Low,W152,2026-01-14
CC-2025-90239,Calder Central,2025-06-10,2025-08-19,Complex,Medium,W194,2026-01-14
CC-2025-21823,Weybridge,2025-03-15,2025-06-22,Standard,Medium,W157,2026-01-14
CC-2024-90479,Northgate,2024-07-26,2024-09-02,Review,Low,W259,2026-01-14
CC-2024-20602,Northgate,2024-10-31,2024-11-21,Standard,Medium,W178,2026-01-14
CC-2025-20817,Calder Central,2025-05-19,2025-09-03,Appeal,Low,W195,2026-01-14
CC-2025-21600,Northgate,2025-02-21,2025-03-27,Review,Low,W202,2026-01-14
CC-2025-11565,Calder Central,2025-08-16,2025-10-02,Standard,Low,W190,2026-01-14
CC-2024-19555,Northgate,2024-07-09,2024-08-16,Complex,Medium,W108,2026-01-14
CC-2024-22400,Northgate,2024-04-24,2024-06-12,Review,Medium,W174,2026-01-14
CC-2024-11774,Weybridge,2024-11-23,2025-07-07,Standard,Medium,W232,2026-01-14
CC-2025-14728,Weybridge,2025-08-23,2025-09-19,Standard,Low,W154,2026-01-14
CC-2024-13384,Calder Central,2024-02-23,2024-03-03,Expedited,,W246,2026-01-14
CC-2024-13473,Calder Central,2024-01-09,2024-02-20,Standard,,W255,2026-01-14
CC-2024-12873,Calder Central,2024-09-20,2025-01-31,Complex,Medium,W197,2026-01-14
CC-2024-11034,Weybridge,2024-05-01,2024-09-26,Complex,Medium,W106,2026-01-14
CC-2024-15876,Weybridge,2024-05-17,2024-06-15,Standard,Low,W198,2026-01-14
CC-2024-23480,Calder Central,2024-07-24,2024-09-18,Standard,Medium,W177,2026-01-14
CC-2024-90593,Calder Central,2024-05-19,2024-07-10,Standard,Low,W136,2026-01-14
CC-2024-90545,Calder Central,2024-06-24,2024-07-30,Standard,High,W106,2026-01-14
CC-2024-90112,Calder Central,2024-04-09,2024-05-22,Standard,Low,W191,2026-01-14
CC-2024-22976,Weybridge,2024-12-19,2025-01-12,Standard,Medium,W113,2026-01-14
CC-2023-13922,Northgate,2023-09-18,2023-10-05,Standard,,W151,2026-01-14
CC-2023-19486,Weybridge,2023-10-09,2023-11-22,Review,,W100,2026-01-14
CC-2025-14400,Calder Central,2025-07-21,2025-09-21,Complex,Low,W115,2026-01-14
CC-2024-12836,Weybridge,2024-07-15,2024-08-09,Standard,Low,W103,2026-01-14
CC-2023-15942,Weybridge,2023-12-13,2024-01-10,Appeal,,W218,2026-01-14
CC-2024-16801,Weybridge,2024-01-19,2024-05-08,Appeal,,W110,2026-01-14
CC-2023-13549,Calder Central,2023-12-23,2024-02-29,Review,,W110,2026-01-14
CC-2024-13123,Northgate,2024-11-10,2024-11-25,Review,Low,W144,2026-01-14
CC-2023-14538,Weybridge,2023-10-27,2023-11-25,Expedited,,W120,2026-01-14
CC-2025-20236,Calder Central,2025-11-26,,Standard,Low,W171,2026-01-14
CC-2024-21439,Calder Central,2024-08-17,2024-10-26,Appeal,Low,W260,2026-01-14
CC-2025-23711,Calder Central,2025-04-30,2025-06-27,Standard,High,W237,2026-01-14
CC-2023-14548,Weybridge,2023-09-02,2023-10-04,Standard,,W260,2026-01-14
CC-2025-90068,Northgate,2025-08-22,2025-11-26,Appeal,Low,W242,2026-01-14
CC-2024-11801,Weybridge,2024-03-06,2024-03-28,Standard,Low,W243,2026-01-14
CC-2024-15194,Weybridge,2024-12-30,2025-03-05,Standard,Low,W241,2026-01-14
CC-2025-90340,Calder Central,2025-06-09,2025-07-05,Standard,Medium,W200,2026-01-14
CC-2024-11880,Northgate,2024-06-21,2024-08-09,Standard,Low,W259,2026-01-14
CC-2024-90610,Northgate,2024-12-31,2025-01-13,Standard,Medium,W151,2026-01-14
CC-2023-16015,Calder Central,2023-07-19,2023-08-02,Expedited,,W181,2026-01-14
CC-2024-90256,Calder Central,2024-04-20,2024-06-10,Review,Medium,W220,2026-01-14
CC-2024-17442,Northgate,2024-07-20,2024-08-22,Standard,Low,W240,2026-01-14
CC-2024-14383,Northgate,2024-07-19,2024-08-13,Standard,Low,W150,2026-01-14
CC-2024-18326,Northgate,2024-08-17,2024-09-12,Standard,Medium,W118,2026-01-14
CC-2025-15386,Calder Central,2025-01-30,2025-02-26,Standard,Medium,W129,2026-01-14
CC-2023-12528,Weybridge,2023-10-20,2023-11-05,Standard,,W231,2026-01-14
CC-2025-90716,Northgate,2025-06-08,2025-07-28,Complex,Medium,W112,2026-01-14
CC-2025-15345,Calder Central,2025-09-15,,Complex,Medium,W210,2026-01-14
CC-2024-17184,Calder Central,2024-04-22,2024-06-07,Standard,Medium,W115,2026-01-14
CC-2025-90623,Calder Central,2025-08-30,2025-10-06,Standard,Low,W184,2026-01-14
CC-2024-11523,Northgate,2024-02-12,2024-05-28,Complex,,W187,2026-01-14
CC-2025-18591,Northgate,2025-02-15,2025-02-27,Standard,Medium,W195,2026-01-14
CC-2025-12198,Weybridge,2025-09-11,,Review,Low,W191,2026-01-14
CC-2024-20484,Weybridge,2024-01-29,2024-05-29,Complex,,W104,2026-01-14
CC-2024-19247,Northgate,2024-11-25,2024-12-06,Standard,Low,W187,2026-01-14
CC-2024-18549,Weybridge,2024-03-24,2024-05-13,Complex,Medium,W123,2026-01-14
CC-2025-18642,Northgate,2025-08-07,2025-10-25,Appeal,Medium,W185,2026-01-14
CC-2024-90147,Calder Central,2024-05-23,2024-05-30,Expedited,Low,W203,2026-01-14
CC-2025-13657,Calder Central,2025-08-01,2025-09-09,Standard,Low,W240,2026-01-14
CC-2024-12417,Weybridge,2024-10-24,2025-01-06,Standard,High,W125,2026-01-14
CC-2025-23760,Calder Central,2025-03-09,2025-04-12,Standard,Medium,W152,2026-01-14
CC-2025-19949,Weybridge,2025-07-15,2025-08-18,Standard,Low,W149,2026-01-14
CC-2024-19263,Calder Central,2024-11-09,2024-12-02,Review,Medium,W217,2026-01-14
CC-2024-10687,Weybridge,2024-07-11,2024-08-08,Standard,Low,W207,2026-01-14
CC-2023-22937,Northgate,2023-10-10,2023-12-10,Appeal,,W223,2026-01-14
CC-2023-18946,Northgate,2023-11-21,2024-03-04,Complex,,W178,2026-01-14
CC-2024-90559,Calder Central,2024-08-24,2024-09-02,Standard,Medium,W199,2026-01-14
CC-2024-90557,Calder Central,2024-07-08,2024-10-10,Complex,Low,W195,2026-01-14
CC-2025-14967,Calder Central,2025-02-16,2025-03-25,Standard,Medium,W201,2026-01-14
CC-2025-11741,Weybridge,2025-11-15,2025-12-30,Expedited,Medium,W166,2026-01-14
CC-2025-11044,Northgate,2025-10-01,2025-10-11,Expedited,Low,W133,2026-01-14
CC-2023-21703,Weybridge,2023-11-17,2024-01-13,Complex,,W193,2026-01-14
CC-2024-16057,Northgate,2024-06-02,2024-08-04,Standard,Low,W232,2026-01-14
CC-2025-22481,Calder Central,2025-01-18,2025-04-08,Complex,Medium,W183,2026-01-14
CC-2024-24194,Calder Central,2024-10-09,2024-11-01,Standard,Medium,W124,2026-01-14
CC-2023-15226,Northgate,2023-09-20,2023-12-23,Appeal,,W228,2026-01-14
CC-2024-13183,Calder Central,2024-07-15,2024-08-09,Review,Low,W224,2026-01-14
CC-2025-15330,Calder Central,2025-02-19,2025-03-03,Expedited,Medium,W178,2026-01-14
CC-2025-22837,Weybridge,2025-03-28,2025-12-17,Complex,Low,W171,2026-01-14
CC-2024-10474,Weybridge,2024-01-05,2024-02-13,Review,,W166,2026-01-14
CC-2024-15811,Weybridge,2024-09-23,2023-09-02,Complex,Medium,W147,2026-01-14
CC-2025-16076,Northgate,2025-07-08,2025-08-16,Standard,Low,W216,2026-01-14
CC-2023-11063,Northgate,2023-10-28,2023-11-08,Expedited,,W118,2026-01-14
CC-2025-12828,Northgate,2025-03-15,2025-04-08,Standard,Medium,W204,2026-01-14
CC-2023-16341,Calder Central,2023-11-06,2024-02-27,Complex,,W102,2026-01-14
CC-2024-17078,Calder Central,2024-05-20,2024-06-06,Expedited,Low,W193,2026-01-14
CC-2025-18010,Weybridge,2025-11-10,,Complex,High,W209,2026-01-14
CC-2025-90407,Weybridge,2025-01-29,2025-08-08,Complex,Low,W186,2026-01-14
CC-2024-22572,Calder Central,2024-06-08,2024-08-29,Complex,High,W148,2026-01-14
CC-2025-18384,Calder Central,2025-07-25,2025-08-17,Standard,Low,W148,2026-01-14
CC-2025-90424,Northgate,2025-03-17,2025-04-03,Expedited,High,W226,2026-01-14
CC-2025-11211,Northgate,2025-10-01,2025-10-29,Standard,Medium,W237,2026-01-14
CC-2025-90660,Weybridge,2025-06-26,2025-12-12,Complex,Medium,W108,2026-01-14
CC-2025-20415,Northgate,2025-12-17,,Complex,Medium,W117,2026-01-14
CC-2025-11760,Northgate,2025-07-28,2025-08-20,Standard,Medium,W155,2026-01-14
CC-2024-18259,Weybridge,2024-02-03,2024-01-28,Complex,,W109,2026-01-14
CC-2025-18944,Calder Central,2025-02-24,2025-04-09,Review,Low,W247,2026-01-14
CC-2025-12833,Northgate,2025-11-07,,Review,Low,W242,2026-01-14
CC-2023-10488,Northgate,2023-09-17,2024-02-19,Complex,,W208,2026-01-14
CC-2024-15490,Weybridge,2024-04-10,2024-05-13,Review,Low,W260,2026-01-14
CC-2024-13720,Calder Central,2024-11-03,2025-01-11,Complex,Low,W178,2026-01-14
CC-2024-90463,Weybridge,2024-04-30,2024-05-12,Expedited,Low,W102,2026-01-14
CC-2023-14492,Calder Central,2023-10-21,2023-11-24,Standard,,W187,2026-01-14
CC-2024-12970,Calder Central,2024-04-11,2024-06-25,Standard,Medium,W106,2026-01-14
CC-2024-22485,Northgate,2024-08-26,2024-11-28,Complex,High,W126,2026-01-14
CC-2025-16906,Weybridge,2025-02-15,2025-07-12,Complex,Medium,W150,2026-01-14
CC-2024-23803,Weybridge,2024-05-30,2024-10-10,Complex,Low,W203,2026-01-14
CC-2024-19597,Calder Central,2024-06-27,2024-07-23,Standard,Low,W197,2026-01-14
CC-2025-18792,Northgate,2025-12-22,,Standard,Medium,W233,2026-01-14
